country,Code,Homicide rate,GDP Per Capita
Albania,ALB,2.3119686,6657.637
Algeria,DZA,1.5731823,4306.82
Antigua and Barbuda,ATG,17.163792,17441.463
Argentina,ARG,4.6226788,13619.875
Armenia,ARM,2.1856172,6587.219
Australia,AUS,0.74456745,64813.854
Austria,AUT,0.7285295,52191.771
Azerbaijan,AZE,1.9102119,7750.882
Bahrain,BHR,0.068340294,28781.493
Barbados,BRB,11.379821,19647.869
Belgium,BEL,1.0765264,49843.163
Belize,BLZ,31.247578,6757.498
Bolivia,BOL,3.4935303,3705.266
Bosnia and Herzegovina,BIH,0.9783111,7059.993
Botswana,BWA,10.546963,7737.655
Bulgaria,BGR,1.2779799,13821.205
Canada,CAN,2.0652595,55036.52
Chile,CHL,3.6320386,15166.472
Colombia,COL,27.484365,6658.119
Costa Rica,CRI,11.40871,13074.905
Croatia,HRV,0.81278074,18305.03
Cyprus,CYP,1.2859793,31459.344
Czechia,CZE,0.44716123,26832.304
Denmark,DNK,0.80283684,68294.907
Dominica,DMA,13.809771,8462.278
Dominican Republic,DOM,10.541584,10711.156
Ecuador,ECU,14.024255,6389.424
El Salvador,SLV,18.165499,5127.315
Estonia,EST,1.9567984,28136.261
Eswatini,SWZ,12.664906,4201.902
France,FRA,1.13743,42349.887
Germany,DEU,0.83324784,48756.309
Ghana,GHA,1.8365651,2251.822
Greece,GRC,0.85205257,20960.097
Grenada,GRD,4.012519,10694.769
Guatemala,GTM,19.990364,5097.593
Guyana,GUY,16.28205,18353.123
Haiti,HTI,13.007129,1702.001
Honduras,HND,38.245457,3062.199
Hungary,HUN,0.7724166,18579.077
Iceland,ISL,0.5400516,74590.512
India,IND,2.9362788,2391.866
Ireland,IRL,0.4411889,103311.007
Israel,ISR,1.9438074,54336.836
Italy,ITA,0.51147586,34084.518
Jamaica,JAM,52.127274,6197.798
Japan,JPN,0.22870894,33853.804
Jordan,JOR,1.0225796,4613.062
Kenya,KEN,5.274913,2245.284
Kosovo,OWID_KOS,1.9855483,5332.367
Latvia,LVA,3.0417538,21946.922
Lithuania,LTU,2.5837471,24988.686
Luxembourg,LUX,0.6256638,126598.103
Malaysia,MYS,0.72377706,12465.612
Malta,MLT,0.3796882,34819.265
Mauritius,MUS,2.6175704,10227.044
Mexico,MEX,28.175653,11265.544
Mongolia,MNG,6.153327,4953.553
Montenegro,MNE,2.3890734,9820.089
Morocco,MAR,1.9311379,3570.115
Myanmar,MMR,28.437815,1227.697
Namibia,NAM,12.449852,4854.445
Netherlands,NLD,0.65136546,57427.756
Nicaragua,NIC,11.006432,2371.681
Norway,NOR,0.5367368,105825.926
Oman,OMN,0.24333748,23240.138
Pakistan,PAK,3.9787881,1650.279
Panama,PAN,12.639997,17409.626
Paraguay,PRY,7.8313804,5597.532
Poland,POL,0.71265,18342.676
Portugal,PRT,0.7968822,24540.377
Qatar,QAT,0.33479217,83520.998
Romania,ROU,1.2623806,15821.133
Russia,RUS,6.7993197,15645.688
Saint Kitts and Nevis,KNA,29.40775,16565.781
Saint Lucia,LCA,38.96433,12703.961
Saint Vincent and the Grenadines,VCT,30.671318,8538.685
Serbia,SRB,1.0552616,9528.432
Seychelles,SYC,4.6961365,19982.733
Singapore,SGP,0.10099207,82807.649
Slovenia,SVN,0.4246466,28526.621
South Africa,ZAF,41.865726,6684.479
South Korea,KOR,0.52093244,32418.338
Spain,ESP,0.6106943,29799.745
Suriname,SUR,5.7097692,5687.183
Sweden,SWE,1.0795734,56188.324
Switzerland,CHE,0.48323596,93657.234
Trinidad and Tobago,TTO,29.364283,21252.661
Turkey,TUR,2.5195987,10621.965
Uganda,UGA,8.531467,1103.109
Ukraine,UKR,3.843201,4606.798
United Arab Emirates,ARE,0.46982723,51399.958
United States of America,USA,6.8074665,76343.247
Uruguay,URY,8.901836,20022.144
Uzbekistan,UZB,1.4054567,2279.972
Venezuela,VEN,19.305056,3421.754
Zimbabwe,ZWE,6.139985,1990.93
