Ranking,Country,Average IQ,GDP Per Capita
1,Japan,106.48,33949.714
2,Taiwan,106.47,32339.701
3,Singapore,105.89,87884.162
4,Hong Kong,105.37,51168.046
5,China,104.1,12541.403
6,South Korea,102.35,33147.226
7,Belarus,101.6,7477.293
8,Finland,101.2,54507.139
11,Netherlands,100.74,61769.702
10,Germany,100.74,52823.575
12,Estonia,100.72,30998.324
13,Luxembourg,99.87,135605.438
15,Cambodia,99.75,1915.628
16,Canada,99.52,53246.981
19,Switzerland,99.24,102865.569
18,Hungary,99.24,21075.621
17,Australia,99.24,63487.049
20,United Kingdom,99.12,48912.776
23,Slovenia,98.6,32350.022
24,New Zealand,98.57,48071.747
25,Austria,98.38,58013.273
26,Iceland,98.26,78836.851
27,Denmark,97.83,71402.141
28,Belgium,97.49,53656.833
29,United States of America,97.43,80412.41
30,Norway,97.13,99266.299
31,Sweden,97,55215.847
32,France,96.69,46315.204
33,Poland,96.35,22393.03
34,Slovakia,96.32,24471.091
35,Russia,96.29,13005.71
36,Lithuania,95.89,28481.993
37,Croatia,95.75,20876.461
38,Andorra,95.2,44107.317
39,Ireland,95.13,112247.706
40,Czechia,94.92,30474.529
41,Latvia,94.79,24929.18
42,Italy,94.23,37146.233
43,Vanuatu,93.92,3491.863
45,Spain,93.9,33090.238
47,Cyprus,93.39,34790.581
48,Portugal,92.77,26878.872
49,Israel,92.43,53195.879
50,Barbados,91.6,21442.447
51,Malta,91.27,38715.185
52,Burma,91.18,1381.059
53,Mongolia,91.03,5348.072
54,Bulgaria,90.99,16086.569
55,Greece,90.77,23173.056
56,Suriname,90.29,5667.105
57,Ukraine,90.07,5224.586
58,Moldova,89.98,6410.925
59,Serbia,89.6,11301.218
60,Vietnam,89.53,4316.336
61,Iraq,89.28,5882.894
62,Uzbekistan,89.01,2509.156
63,Kazakhstan,88.89,12968.427
64,Thailand,88.87,7297.985
65,Armenia,88.82,8283.119
66,Bosnia and Herzegovina,88.54,7778.298
67,Costa Rica,88.34,16213.262
68,Bhutan,87.94,3500.486
69,Chile,87.89,17253.752
70,Mexico,87.73,13803.741
71,Tajikistan,87.71,1180.058
72,Uruguay,87.59,21377.631
74,Brunei,87.58,34383.527
73,Malaysia,87.58,13034.067
75,Bahamas,86.99,34370.86
76,Romania,86.88,18413.471
77,Turkey,86.8,13383.924
78,Argentina,86.63,13297.425
80,Mauritius,86.56,11751.506
81,Turkmenistan,85.86,12934.243
82,Montenegro,85.78,11338.801
83,Trinidad and Tobago,85.63,19621.786
84,Azerbaijan,84.81,7529.695
85,Georgia,84.5,8164.861
87,Paraguay,84.04,5842.959
94,Marshall Islands,83.96,6141.234
93,Tonga,83.96,5487.667
92,Micronesia,83.96,4357.639
91,Kiribati,83.96,1968.028
90,Samoa,83.96,4638.145
89,Solomon Islands,83.96,2285.399
88,Fiji,83.96,6024.783
97,Bahrain,83.6,28464.173
98,Brazil,83.38,10412.997
99,Guyana,83.23,20564.643
100,Colombia,83.13,6975.868
101,Venezuela,82.99,3474.332
104,Haiti,82.1,2125.315
106,United Arab Emirates,82.05,50602.325
105,Dominican Republic,82.05,11248.789
107,Puerto Rico,81.99,37093.332
109,Albania,81.75,8057.49
111,Philippines,81.64,3859.194
112,Peru,81.44,7668.665
114,Laos,80.99,1878.708
115,Libya,80.92,5872.222
116,Qatar,80.78,81968.336
117,Jordan,80.7,4850.663
118,Maldives,80.54,17558.747
119,Iran,80.01,4233.986
120,Pakistan,80,1471.098
121,Grenada,79.34,11436.942
122,Tunisia,79.22,4190.603
123,Kyrgyzstan,79.09,1829.586
124,Panama,79,18493.465
126,Chad,78.87,702.845
125,Sudan,78.87,533.845
127,Seychelles,78.76,20889.545
128,Oman,78.7,21265.625
129,Kuwait,78.64,32215.034
132,Timor-Leste,78.49,1497.408
131,Papua New Guinea,78.49,2581.179
130,Indonesia,78.49,5108.944
133,Ecuador,78.26,6500.047
135,Senegal,77.37,1714.653
136,Comoros,77.07,1377.022
137,Madagascar,76.79,529.56
139,Bolivia,76.53,3857.843
140,Uganda,76.42,1163.034
141,Saudi Arabia,76.36,32586.172
142,Egypt,76.32,3770.133
143,India,76.24,2612.454
144,Algeria,76,4874.706
145,Kenya,75.2,2187.648
146,Angola,75.1,2550.001
147,Jamaica,75.08,6830.87
148,Tanzania,74.95,1326.634
150,Bangladesh,74.33,2621.288
151,Zimbabwe,74.01,2005.875
152,Burkina Faso,73.8,888.029
153,Saint Lucia,73.68,13572.256
154,Mozambique,72.5,647.135
155,Burundi,72.09,245.811
156,Niger,70.82,630.8
158,Saint Kitts and Nevis,70.48,18158.491
157,Antigua and Barbuda,70.48,19068.279
159,Rwanda,69.95,1031.692
160,Benin,69.71,1449.112
161,Malawi,69.7,579.701
162,El Salvador,69.63,5557.577
163,Botswana,69.45,7758.371
166,Eswatini,68.87,3995.029
165,Lesotho,68.87,1110.179
164,South Africa,68.87,6190.742
168,Zambia,68.43,1435.89
169,Ethiopia,68.42,1473.36
170,Djibouti,68.41,3761.241
172,Cameroon,67.76,1721.954
171,Nigeria,67.76,1755.326
173,Somalia,67.67,717.406
174,Morocco,67.03,3979.871
175,Namibia,66.19,4785.679
176,Dominica,66.03,9356.049
179,Saint Vincent and the Grenadines,63.42,9359.9
181,Gabon,62.97,8831.823
182,Yemen,62.86,617.67
184,Belize,62.55,7141.538
183,Central African Republic,62.55,539.24
