Overall rank,Country or region,Score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,GDP 
1,Finland,7.769,1.587,0.986,0.596,0.153,0.393,51029.52
2,Denmark,7.6,1.573,0.996,0.592,0.252,0.41,68294.907
3,Norway,7.554,1.582,1.028,0.603,0.271,0.341,105825.926
4,Iceland,7.494,1.624,1.026,0.591,0.354,0.118,74590.512
5,Netherlands,7.488,1.522,0.999,0.557,0.322,0.298,57427.756
6,Switzerland,7.48,1.526,1.052,0.572,0.263,0.343,93657.234
7,Sweden,7.343,1.487,1.009,0.574,0.267,0.373,56188.324
8,New Zealand,7.307,1.557,1.026,0.585,0.33,0.38,47226.095
9,Canada,7.278,1.505,1.039,0.584,0.285,0.308,55036.52
10,Austria,7.246,1.475,1.016,0.532,0.244,0.226,52191.771
11,Australia,7.228,1.548,1.036,0.557,0.332,0.29,64813.854
12,Costa Rica,7.167,1.441,0.963,0.558,0.144,0.093,13074.905
13,Israel,7.139,1.455,1.029,0.371,0.261,0.082,54336.836
14,Luxembourg,7.09,1.479,1.012,0.526,0.194,0.316,126598.103
15,United Kingdom,7.054,1.538,0.996,0.45,0.348,0.278,45461.066
16,Ireland,7.021,1.553,0.999,0.516,0.298,0.31,103311.007
17,Germany,6.985,1.454,0.987,0.495,0.261,0.265,48756.309
18,Belgium,6.923,1.504,0.986,0.473,0.16,0.21,49843.163
19,United States of America,6.892,1.457,0.874,0.454,0.28,0.128,76343.247
20,Czech Republic,6.852,1.487,0.92,0.457,0.046,0.036,26832.304
21,United Arab Emirates,6.825,1.31,0.825,0.598,0.262,0.182,51399.958
22,Malta,6.726,1.52,0.999,0.564,0.375,0.151,34819.265
23,Mexico,6.595,1.323,0.861,0.433,0.074,0.073,11265.544
24,France,6.592,1.472,1.045,0.436,0.111,0.183,42349.887
26,Chile,6.444,1.369,0.92,0.357,0.187,0.056,15166.472
27,Guatemala,6.436,1.269,0.746,0.535,0.175,0.078,5097.593
28,Saudi Arabia,6.375,1.357,0.795,0.439,0.08,0.132,34441.059
29,Qatar,6.374,1.313,0.871,0.555,0.22,0.167,83520.998
30,Spain,6.354,1.484,1.062,0.362,0.153,0.079,29799.745
31,Panama,6.321,1.442,0.91,0.516,0.109,0.054,17409.626
32,Brazil,6.3,1.439,0.802,0.39,0.099,0.086,9455.328
33,Uruguay,6.293,1.465,0.891,0.523,0.127,0.15,20022.144
34,Singapore,6.262,1.463,1.141,0.556,0.271,0.453,82807.649
35,El Salvador,6.253,1.242,0.789,0.43,0.093,0.074,5127.315
36,Italy,6.223,1.488,1.039,0.231,0.158,0.03,34084.518
37,Bahrain,6.199,1.368,0.871,0.536,0.255,0.11,28781.493
40,Poland,6.182,1.438,0.884,0.483,0.117,0.05,18342.676
41,Uzbekistan,6.174,1.529,0.756,0.631,0.322,0.24,2279.972
42,Lithuania,6.149,1.515,0.818,0.291,0.043,0.042,24988.686
43,Colombia,6.125,1.41,0.841,0.47,0.099,0.034,6658.119
44,Slovenia,6.118,1.523,0.953,0.564,0.144,0.057,28526.621
45,Nicaragua,6.105,1.325,0.835,0.435,0.2,0.127,2371.681
46,Kosovo,6.1,1.232,0.758,0.489,0.262,0.006,5332.367
47,Argentina,6.086,1.432,0.881,0.471,0.066,0.05,13619.875
48,Romania,6.07,1.232,0.825,0.462,0.083,0.005,15821.133
49,Cyprus,6.046,1.223,1.042,0.406,0.19,0.041,31459.344
50,Ecuador,6.028,1.312,0.868,0.498,0.126,0.087,6389.424
